Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
BLZ;BELIZE;;;;;0;;0;0;;0;;;;0;0;;0;;;0;;;;;0;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEN;BENIN;;2759;0;0;150000;0;0;884;;0;;0;0;0;0;10469;20000;0;826;8000;20000;;;0;;0;16000;0;;130000;0;0;80000;;;;3000;;0;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMU;BERMUDA;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BTN;BHUTAN;;;;0;;0;;;;;0;;;;1000;0;;;;;0;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOL;BOLIVIA;;0;0;0;300;0;0;0;0;0;0;10300;0;0;0;3400;6900;0;0;;0;;40500;0;0;0;0;0;50000;475;0;0;0;;0;;15000;20000;;;0;;;;;0;6000;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIH;BOSNIA-HERCEGOVENIA;;;0;;0;0;;0;;0;0;0;;0;0;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWA;BOTSWANA;;0;;0;;0;0;;0;0;0;;;;32000;;;;;2000;;;0;;;;0;;0;;;;0;;;;;;;;;;0;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRA;BRAZIL;0;43200;0;30000;13000;2950;3035;0;0;10340;2200;187410;3000;12500;213000;0;10500;62000;7000;35800;2000;;1500;600;0;333944;20000;0;14500;4000;31500;8000;0;0;0;0;0;50000;;80000;0;0;;0;0;17384;0;15400;29000;40000;0;;;;;0;;0;0;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRN;BRUNEI DARUSSALAM;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGR;BULGARIA;0;;0;;0;;0;0;0;0;;;0;0;150;850;0;0;;;;0;;;0;;;;3000;;;0;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BFA;BURKINA FASO;;0;21000;0;0;0;4292;28000;10000;0;0;12120;;0;;760;0;0;0;0;0;;;0;0;;10000;0;0;572;0;0;;0;0;0;;900;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
BDI;BURUNDI;12500;;;0;1500;0;0;23000;9305;5000;25620;0;0;;500;0;;0;;;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KHM;CAMBODIA;;0;0;0;0;0;;0;0;0;0;;0;0;0;25805;0;0;0;;0;;0;250000;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
